case,u_inf_m_s,lambda,cylinder_x_over_c,cylinder_z_over_c,omega_rad_s,rpm,inner_iter,rms_rho,cd,cd_abs,cl,c_downforce,c_downforce_over_cd,c_downforce_over_abs_cd,cmx,cmy,cmz,cd_wing,cd_cylinder,cd_ground,cl_wing,cl_cylinder,cl_ground,cmy_wing,cmy_cylinder,cmy_ground,cylinder_moment_y_nm,motor_power_w_eta_0p8,equivalent_drag_n_abs,eta_net_abs_drag,force_drift_window_rows,cd_drift_last_window,cd_drift_pct_last_window,cl_drift_last_window,cl_drift_pct_last_window,c_downforce_drift_last_window,c_downforce_drift_pct_last_window,dry_run_log,solver_log
inv6412_wing_cylinder_rotating_x0p020_z0p100_U30_lam1p0,30.0,1.0,0.02000000,0.10000000,1500.00000000,14323.94487827,299,-3.461054822,2.838395425,2.838395425,1.238369082,-1.238369082,-0.4362919525,-0.4362919525,0.682824133,10.36480476,0.0011921325,1.50448279,1.333913743,-1.106997195e-06,1.762817415,0.6455127806,-1.169961115,1.497415876,0.4432961533,8.424092734,26.39036074,49481.92638,2212.64989,-0.1110625164,50,-0.540935599,-0.1600717998,-1.17540967,-0.48695833,1.17540967,0.48695833,cases_rans_stable_300\inv6412_wing_cylinder_rotating_x0p020_z0p100_U30_lam1p0\su2_dryrun.log,cases_rans_stable_300\inv6412_wing_cylinder_rotating_x0p020_z0p100_U30_lam1p0\su2.log
inv6412_wing_cylinder_static_U30,30.0,0.0,0.08000000,0.10000000,0.00000000,0.00000000,299,-3.486984827,3.356354387,3.356354387,1.513044175,-1.513044175,-0.450799886,-0.450799886,-0.7906073389,10.22958202,-0.01014588305,1.682096756,1.674258115,-4.8484454e-07,1.807296887,0.4091920287,-0.7034447411,1.306607483,0.3393290821,8.583645452,20.20098036,0,666.0363309,-0.450799886,50,-0.612588225,-0.1543454479,-0.702857975,-0.3171881822,0.702857975,0.3171881822,cases_rans_stable_300\inv6412_wing_cylinder_static_U30\su2_dryrun.log,cases_rans_stable_300\inv6412_wing_cylinder_static_U30\su2.log
inv6412_wing_only_U30,30.0,none,none,none,none,none,299,-3.560740748,1.068558051,1.068558051,-0.06092215691,0.06092215691,0.05701342744,0.05701342744,-4.852916915,-7.185383774,-0.0006359284766,1.068557844,,2.072537769e-07,-0.8671199192,,0.8061977623,0.7803549779,,-7.965738752,,,,,50,-0.267792327,-0.2003908042,-0.4617216258,-1.152001591,0.4617216258,1.152001591,cases_rans_stable_300\inv6412_wing_only_U30\su2_dryrun.log,cases_rans_stable_300\inv6412_wing_only_U30\su2.log
