case,u_inf_m_s,lambda,cylinder_x_over_c,cylinder_z_over_c,omega_rad_s,rpm,physical_steps_total,average_rows,average_start_time_iter,average_end_time_iter,mean_cd,std_cd,mean_cl,std_cl,mean_c_downforce,std_c_downforce,mean_c_downforce_over_abs_cd,mean_cmy_cylinder,mean_motor_power_w_eta_0p8,mean_equivalent_drag_n_abs,mean_eta_net_abs_drag,last_time_iter,last_inner_iter,last_rms_rho,solver_log
inv6412_wing_cylinder_rotating_x0p020_z0p100_U30_lam1p0,30.0,1.0,0.02000000,0.10000000,1500.00000000,14323.94487827,500,100,400,499,-1.142235606,0.008388039306,-1.666811181,0.05257199351,1.666811181,0.05257199351,1.459253391,2.088116805,233081.2963,7996.04224,0.04136580066,499,39,-4.355740076,cases_urans_production\inv6412_wing_cylinder_rotating_x0p020_z0p100_U30_lam1p0\su2.log
inv6412_wing_cylinder_static_U30,30.0,0.0,0.08000000,0.10000000,0.00000000,0.00000000,448,48,400,447,0.3312952049,0.001082497568,0.02194471704,0.00331219791,-0.02194471704,0.00331219791,-0.06623916288,0.1325197059,0,65.74235534,-0.06623916288,447,0,-4.706444706,cases_urans_production\inv6412_wing_cylinder_static_U30\su2.log
inv6412_wing_only_U30,30.0,none,none,none,none,none,500,100,400,499,0.1066533317,0.001046200855,-0.153902695,0.01672241596,0.153902695,0.01672241596,1.443018165,,,,,499,10,-6.219895492,cases_urans_production\inv6412_wing_only_U30\su2.log
