case,u_inf_m_s,lambda,cylinder_x_over_c,cylinder_z_over_c,omega_rad_s,rpm,inner_iter,rms_rho,cd,cd_abs,cl,c_downforce,c_downforce_over_cd,c_downforce_over_abs_cd,cmx,cmy,cmz,cd_wing,cd_cylinder,cd_ground,cl_wing,cl_cylinder,cl_ground,cmy_wing,cmy_cylinder,cmy_ground,cylinder_moment_y_nm,motor_power_w_eta_0p8,equivalent_drag_n_abs,eta_net_abs_drag,force_drift_window_rows,cd_drift_last_window,cd_drift_pct_last_window,cl_drift_last_window,cl_drift_pct_last_window,c_downforce_drift_last_window,c_downforce_drift_pct_last_window,dry_run_log,solver_log
inv6412_wing_cylinder_rotating_x0p020_z0p100_U30_lam1p0,30.0,1.0,0.02000000,0.10000000,1500.00000000,14323.94487827,199,-3.2226546,0.1274697005,0.1274697005,-21.82789441,21.82789441,171.2398658,171.2398658,56.7401652,305.0476223,-0.01305261488,0.09866654573,0.02882214257,-1.898781852e-05,-4.436825106,0.5995442017,-17.9906135,0.2920267522,0.2906353142,304.4649603,17.30213702,32441.50691,1106.678703,3.913996213,50,0.3794444849,1.505882764,-5.60187568,-0.3452403065,5.60187568,0.3452403065,cases_rans_200\inv6412_wing_cylinder_rotating_x0p020_z0p100_U30_lam1p0\su2_dryrun.log,cases_rans_200\inv6412_wing_cylinder_rotating_x0p020_z0p100_U30_lam1p0\su2.log
inv6412_wing_cylinder_static_U30,30.0,0.0,0.08000000,0.10000000,0.00000000,0.00000000,199,-3.214260598,0.6062692083,0.6062692083,-21.51169327,21.51169327,35.48208119,35.48208119,56.59739712,305.7474371,-0.01835620237,0.2699606313,0.3363272314,-1.865442672e-05,-3.617300885,0.393846317,-18.2882387,0.5308113378,0.1990488303,305.0175769,11.84979928,0,120.3083085,35.48208119,50,0.3297040166,1.192138514,-5.88006632,-0.3761647037,5.88006632,0.3761647037,cases_rans_200\inv6412_wing_cylinder_static_U30\su2_dryrun.log,cases_rans_200\inv6412_wing_cylinder_static_U30\su2.log
inv6412_wing_only_U30,30.0,none,none,none,none,none,199,-3.268532908,0.1210507007,0.1210507007,-27.73437825,27.73437825,229.1137357,229.1137357,57.1098171,308.0975588,-0.009959562574,0.1210704797,,-1.977905976e-05,-0.0207029731,,-27.71367528,0.08452162011,,308.0130371,,,,,50,-0.167871227,-0.5810262597,-10.97734028,-0.6550883455,10.97734028,0.6550883455,cases_rans_200\inv6412_wing_only_U30\su2_dryrun.log,cases_rans_200\inv6412_wing_only_U30\su2.log
