case,u_inf_m_s,lambda,cylinder_x_over_c,cylinder_z_over_c,omega_rad_s,rpm,inner_iter,rms_rho,cd,cd_abs,cl,c_downforce,c_downforce_over_cd,c_downforce_over_abs_cd,cmx,cmy,cmz,cd_wing,cd_cylinder,cd_ground,cl_wing,cl_cylinder,cl_ground,cmy_wing,cmy_cylinder,cmy_ground,cylinder_moment_y_nm,motor_power_w_eta_0p8,equivalent_drag_n_abs,eta_net_abs_drag,force_drift_window_rows,cd_drift_last_window,cd_drift_pct_last_window,cl_drift_last_window,cl_drift_pct_last_window,c_downforce_drift_last_window,c_downforce_drift_pct_last_window,dry_run_log,solver_log
inv6412_wing_cylinder_rotating_x0p020_z0p100_U30_lam1p0,30.0,1.0,0.02000000,0.10000000,1500.00000000,14323.94487827,49,-3.332955553,3.459909467,3.459909467,-0.05934020453,0.05934020453,0.01715079689,0.01715079689,6.283807848,40.53898994,-0.01491466048,1.763292797,1.696620119,-3.447946003e-06,2.240382534,0.6423204475,-2.942043186,1.876264142,0.4780118372,38.18471396,28.45705907,53356.98576,2465.152035,0.004776782193,50,2.288568154,1.953801278,-0.0384280125,-1.837588926,0.0384280125,1.837588926,cases_rans_refined_50\inv6412_wing_cylinder_rotating_x0p020_z0p100_U30_lam1p0\su2_dryrun.log,cases_rans_refined_50\inv6412_wing_cylinder_rotating_x0p020_z0p100_U30_lam1p0\su2.log
inv6412_wing_cylinder_static_U30,30.0,0.0,0.08000000,0.10000000,0.00000000,0.00000000,49,-3.344733664,3.924861819,3.924861819,-0.2167860823,0.2167860823,0.05523406741,0.05523406741,4.556286728,39.86639111,-0.04191102225,1.923212057,2.001652842,-3.079583274e-06,1.878862689,0.4522145485,-2.54786332,1.521185103,0.3901337319,37.95507227,23.22548897,0,778.8511772,0.05523406741,50,2.758118649,2.363946685,-0.1932440872,-8.208483865,0.1932440872,8.208483865,cases_rans_refined_50\inv6412_wing_cylinder_static_U30\su2_dryrun.log,cases_rans_refined_50\inv6412_wing_cylinder_static_U30\su2.log
inv6412_wing_only_U30,30.0,none,none,none,none,none,49,-3.372675672,1.285320936,1.285320936,-1.951208124,1.951208124,1.518070755,1.518070755,0.1420982199,24.27461077,-0.0001958647481,1.285323134,,-2.198498542e-06,-0.6010667107,,-1.350141414,0.9850746787,,23.28953609,,,,,50,1.013535908,3.729182275,-1.934462699,-115.5218656,1.934462699,115.5218656,cases_rans_refined_50\inv6412_wing_only_U30\su2_dryrun.log,cases_rans_refined_50\inv6412_wing_only_U30\su2.log
